Delegacia,Furtos na região,Roubo de carga,Roubos,Roubo de Veiculo,Furto de veiculo,Latrocinios,Homicídio doloso por acidente de trânsito,Homicídio Culposo por acidente de Trânsito,Homicídio Culposo,Tentativa de Homicídio,Lesão Corporal seguida de morte,Lesão Corporal Dolosa,Lesão Corporal Culposa por acidente de trânsito,Lesão Corporal Culposa,Estupro,Estupro de vulnerável,Roubo de veiculos,Roubo a Banco ,Ano
VilaJoaniza,900,13,1613,0,110,2,0,3,0,6,1,208,64,0,1,5,134,0,2020
VilaJoaniza,1281,10,1419,0,158,3,0,3,0,9,0,211,91,4,4,19,257,0,2019
Belém,645,11,300,0,81,5,0,0,0,2,1,107,26,11,2,5,14,0,2020
Belém,770,20,386,1,131,3,0,0,0,2,0,109,49,32,2,1,14,0,2019
ParqueBristol,441,13,877,0,160,3,0,1,0,6,0,339,53,2,7,8,173,0,2020
ParqueBristol,675,16,854,0,174,8,0,1,1,3,0,373,108,4,9,14,317,0,2019
JardimMirna,1486,120,2640,0,213,21,0,7,0,16,1,503,89,7,14,41,158,0,2020
JardimMirna,1717,141,2570,0,269,13,0,7,0,19,1,551,177,2,12,49,270,0,2019
VilaPereiraBarreto,917,30,746,0,374,6,0,1,0,9,0,286,91,0,4,20,204,0,2020
VilaPereiraBarreto,1062,33,1059,0,452,6,0,2,0,6,0,220,131,6,5,19,438,0,2019
PortaldoMorumbi,1328,10,1341,0,109,13,1,8,0,10,1,251,138,6,7,17,139,0,2020
PortaldoMorumbi,1529,3,1285,0,142,9,0,0,1,10,0,223,184,16,5,21,131,0,2019
ParqueNovoMundo,1098,52,936,0,206,15,0,4,0,2,1,130,81,3,1,10,128,0,2020
ParqueNovoMundo,908,78,909,0,291,18,0,4,0,9,0,137,103,2,2,11,114,0,2019
Ceagesp,1260,27,523,0,280,4,0,5,0,7,0,133,107,7,5,1,65,1,2020
Ceagesp,1475,40,661,0,465,1,0,6,0,4,0,179,123,5,3,9,88,0,2019
ParqueSantoAntônio,1694,26,2739,0,271,11,0,6,0,19,0,525,148,10,17,38,169,0,2020
ParqueSantoAntônio,1992,36,2928,5,333,22,0,13,0,14,0,572,209,17,18,38,271,1,2019
Jaguaré,1054,34,670,0,233,5,0,6,4,3,0,71,112,42,6,12,91,0,2020
Jaguaré,1583,49,991,0,360,0,0,0,1,6,0,129,180,10,5,7,140,0,2019
Heliópolis,707,54,1435,1,301,6,0,4,0,8,0,316,61,5,5,18,299,0,2020
Heliópolis,815,82,1603,1,351,6,0,3,0,4,0,362,112,4,4,18,512,0,2019
Monções,2526,8,1065,1,249,0,0,2,0,0,0,225,64,6,3,4,62,0,2020
Monções,3301,7,1183,0,375,2,0,2,0,3,0,257,138,30,2,6,70,0,2019
Americanópolis,720,34,1245,0,121,5,0,9,0,4,1,291,72,8,7,15,219,0,2020
Americanópolis,1113,12,1109,3,165,4,0,5,0,9,0,372,97,11,10,17,441,0,2019
JardimMíriam,1009,13,2369,0,186,14,0,5,0,19,0,376,147,1,7,27,338,0,2020
JardimMíriam,1535,43,2791,1,210,11,0,8,0,14,0,447,170,1,13,36,627,0,2019
CampoGrande,1272,11,1079,0,231,4,0,4,0,1,0,139,134,6,7,7,158,1,2020
CampoGrande,1869,14,1014,1,366,4,0,5,0,0,0,202,187,9,5,7,210,0,2019
JardimHerculano,1213,83,2486,1,173,32,1,7,0,18,1,557,106,4,17,52,262,0,2020
JardimHerculano,1213,151,2973,2,157,29,0,6,0,21,0,569,100,2,15,55,297,0,2019
JardimdasImbuias,1764,97,2802,0,168,5,1,12,1,8,0,604,160,12,19,42,167,0,2020
JardimdasImbuias,2071,104,2744,2,303,9,0,7,0,22,0,615,198,13,15,45,255,0,2019
Socorro,757,9,856,0,103,0,0,5,0,2,0,78,102,10,2,5,75,0,2020
Socorro,838,7,707,0,128,2,0,6,0,4,1,131,145,10,4,3,82,0,2019
CohabItaquera,928,16,949,0,225,0,0,4,0,3,0,364,63,1,7,15,133,0,2020
CohabItaquera,990,18,1091,0,265,5,0,0,0,7,0,306,63,18,7,21,223,0,2019
ªDDMªSeccionalCentro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
ªDDMªSeccionalCentro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
ªDDMªSeccionalSul,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020
ªDDMªSeccionalSul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
ªDDMªSeccionalOeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
ªDDMªSeccionalOeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
ªDDMªSeccionalNorte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020
ªDDMªSeccionalNorte,0,0,0,0,0,0,0,0,0,0,0,257,1,59,0,4,0,0,2019
ªDDMªSeccionalLeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
ªDDMªSeccionalLeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
ªDDMªSeccionalSantoAmaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
ªDDMªSeccionalSantoAmaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
ªDDMªSeccionalItaquera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
ªDDMªSeccionalItaquera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
ªDDMªSeccionalSãoMateus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
ªDDMªSeccionalSãoMateus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
ªDDMªSeccionalOeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
ªDDMªSeccionalOeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
CentraldeFlagrantesIIDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
CentraldeFlagrantesIIDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Del.AeroportoInt.SPGuarulhos(SP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Del.AeroportoInt.SPGuarulhos(SP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Del.AeroportoInt.ViracoposCPS(SP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Del.AeroportoInt.ViracoposCPS(SP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Del.AeroportoSPCongonhas,23,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,2020
Del.AeroportoSPCongonhas,73,0,0,0,3,0,0,0,0,0,0,4,2,0,0,1,1,0,2019
Del.Pol.AtendimentoaoTurista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Del.Pol.AtendimentoaoTurista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
DelegaciadeProteçãoaoIdosoªSeccionalCentro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
DelegaciadeProteçãoaoIdosoªSeccionalCentro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
DelegaciadoIdosoªSeccionalSul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
DelegaciadoIdosoªSeccionalSul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
DelegaciadoIdosoªSeccionalOeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
DelegaciadoIdosoªSeccionalOeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
DelegaciadoIdosoªSeccionalNorte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
DelegaciadoIdosoªSeccionalNorte,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2019
DelegaciadoIdosoªSeccionalLeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
DelegaciadoIdosoªSeccionalLeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
DelegaciadoIdosoªSecionalSantoAmaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
DelegaciadoIdosoªSecionalSantoAmaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
DelegaciadoIdosoªSeccionalItaquera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
DelegaciadoIdosoªSeccionalItaquera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
DelegaciadoIdosoªSeccionalSãoMateus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
DelegaciadoIdosoªSeccionalSãoMateus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019
DelegaciaPortodeSantos(SP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
DelegaciaPortodeSantos(SP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
DELPOLMetropolitano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
DELPOLMetropolitano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
OUTRASESPECIALIZADAS,5,0,1,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,2020
OUTRASESPECIALIZADAS,4,0,4,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,2019
